"Tracey Lucas for Mayor of DC, 2026","Tracey Lucas","2026","Active","Mayor"
"Goodweather for DC","Gary  Robert  Goodweather","2026","Active","Mayor"
"Elect Anthony Muhammad for Mayor","Anthony Muhammad","2026","Active","Mayor"
"Thomas Cortez for Ward 1","Thomas  Cortez","2026","Active","Council Ward 1"
"Terry Lynch for DC","Terrance Lynch","2026","Active","Council Ward 1"
"Brian Footer for DC","Brian  Drew  Footer","2026","Active","Council Ward 1"
"Aparna for DC","Aparna Raj","2026","Active","Council Ward 1"
"Brian for DC 2026","Brian Schwalb","2026","Active","Attorney General"
"Nate Fleming for DC Council","Nathan Bennett Fleming","2026","Active","Council At-Large"
"Team Oye","Adeoye Yakubu-Owolewa","2026","Active","Council At-Large"
"J.P. Szymkowicz","John Szymkowicz","2026","Active","Attorney General"
"Frumin 2026","Matthew  Frumin","2026","Active","Council Ward 3"
"Jackie the Warrior for Ward 1","Jakeline  Maryori Reyes Yanes","2026","Active","Council Ward 1"
"Rashida for Ward 1","Rashida  Brown ","2026","Active","Council Ward 1"
"Jeff For Ward 5 ","Jeffrey Kihien-Palza","2026","Active","Council Ward 5"
"Candace for DC 2026","Candace Nelson","2026","Active","Council At-Large"
"Darrell Green for DC ","Darrell  Green","2026","Active","Council At-Large"
"Friends of Jenkins for DC ","Leniquadominique  Jenkins ","2026","Active","Council At-Large"
"Re-Elect Charles Allen Ward 6 2026","Charles Allen","2026","Active","Council Ward 6"
"Gloria for Ward 6","Gloria Nauden","2026","Active","Council Ward 6"
"Miguel for Ward 1","Miguel Deramo","2026","Active","Council Ward 1"
"Committee to Elect Dr. Jorge Rice","Jorge  Rice","2026","Active","Council Ward 6"
"Janeese for DC","Janeese  Lewis George ","2026","Active","Mayor"
"Bernita Carmichael 2026","Bernita Carmichael","2026","Active","Council Ward 5"
"Committee to Elect Patricia Stamper","Patricia Stamper","2026","Active","Council At-Large"
"Addison Sarter for DC","Addison Sarter","2026","Active","Council At-Large"
"Talib Karim Muhammad for Mayor Washington, DC","Talib Karim Muhammad","2026","Active","Mayor"
"Adam Prinzo for Ward 3","Adam Prinzo","2026","Active","Council Ward 3"
"Lisa Raymond for DC","Lisa Raymond","2026","Active","Council At-Large"
"Run Joe Joseph Jackson for DC Council At Large","Joseph Jackson","2026","Active","Council At-Large"
"Committee to Elect Yaida Ford","Yaida  Oni Ford","2026","Active","Mayor"
"Mushin BoeLuther Umar","Mushin Umar","2026","Active","Mayor"
"Lee4DC","Khalil Lee","2026","Active","Council At-Large"
"Edward Daniels for Council At - Large","Edward Daniels","2026","Active","Council At-Large"
"Dyana for DC","Dyana  Nicandria-Marie Forester ","2026","Active","Council At-Large"
"Chavous for DC","Kevin Chavous","2026","Active","Council At-Large"
"McDuffie for Mayor","Kenyan  McDuffie","2026","Active","Mayor"
"Adrian Byrd for Mayor Make D.C. YY","Adrian Byrd","2026","Active","Mayor"
"Elissa for DC","Elissa Silverman","2026","Active","Council At-Large"
"Manuel Rivera for DC Attorney General","Manuel  Rivera","2026","Active","Attorney General"
"Edward for DC","Edward  Lee  Daniels","2026","Active","Council At-Large"
"JuanforDC","Juan McCullum","2026","Active","Council At-Large"
"JettJasper4DCWard1","Jett Jasper","2026","Active","Council Ward 1"
"Rossi for Mayor","Christopher Rossi","2026","Active","Mayor"
"Dwight Davis for Council At-Large","Dwight  Davis","2026","Active","Council At-Large"
"Committee to Elect Kathy Henderson Mayor","Kathy Henderson","2026","Active","Mayor"
"Abi Prudent for Chair","Abi-Abaniah Prudent","2026","Active","Council Chairperson"
"Greg Jackson for DC","Gregory Neal  Jackson","2026","Active","Council At-Large"
"David T Gatling for DC Mayor","David  T.  Gatling","2026","Active","Mayor"
"LCDR Little Mayoral Campaign 2026","Terri Little","2026","Active","Mayor"
"Jack for Chair","Jack Evans","2026","Active","Council Chairperson"
"Re-Elect Eric Goulet SBOE","Eric Goulet","2026","Active","D.C. State Board of Education Ward 3"
"Committee to Elect Doni Crawford","Doni Crawford","2026","Active","Council At-Large"
"Committee to Elect Nina Taylor","Nina Taylor","2026","Active","Council At-Large"
"Rini for Mayor","Vidhyarini Sampath","2026","Active","Mayor"
"Campaign of Andrew Smith","Andrew  Michael Smith","2026","Active","Council At-Large"
